Name,Country,Competition,Year,All-Around Score Final,All-Around Score Qualif,Vault Score Final,Vault Score Qualif,Uneven Bars Score Final,Uneven Bars Score Qualif,Balance Beam Score Final,Balance Beam Score Qualif,Floor Exercise Score Final,Floor Exercise Score Qualif,Team Score Final,Team Score Qualif
ANDRADE Rebeca,BRA,FIG Apparatus World Cup 2020-21 DOHA (QAT),2021,,,,,14.5,14.333,13.133,13.166,,,,
ANDRADE Rebeca,BRA,FIG World Cup 2020 BAKU (AZE),2020,,,,,,14.233,,13.8,,,,
ANDRADE Rebeca,BRA,43rd Turnier der Meister FIG Individual Apparatus World Cup COTTBUS (GER),2018,,,14.728,14.766,14.5,14.133,13.766,12.966,,,,
ANDRADE Rebeca,BRA,FIG World Challenge Cup VARNA (BUL),2017,,,14.8,14.725,14.05,14.45,,,,,,
ANDRADE Rebeca,BRA,FIG World Challenge Cup 2017 KOPER (SLO),2017,,,14.6,14.4,,12.45,,,,,,
ANDRADE Rebeca,BRA,World Challenge Cup 2016 ANADIA (POR),2016,,,,,,,14.125,13.75,14.1,13.8,,
ANDRADE Rebeca,BRA,World Challenge Cup 2016 SAO PAULO (BRA),2016,,,,,14.5,14.55,13,14.1,,,,
ANDRADE Rebeca,BRA,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,29.333,,,14.433,14.4,,,,,226.477,
ANDRADE Rebeca,BRA,9th World Challenge Cup 2016 DOHA (QAT),2016,,,,,14.25,14.5,,,,,,
ANDRADE Rebeca,BRA,World Challenge Cup 2015 SAO PAULO (BRA),2015,,,14.7,14.825,13.3,12.9,,,,,,
ANDRADE Rebeca,BRA,World Challenge Cup 2015 LJUBLJANA (SLO),2015,,,,,12.8,14.3,,,,,,
OLIVEIRA Lorrane,BRA,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,28.991,,,,14.158,,,,,172.087,174.054
OLIVEIRA Lorrane,BRA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL,2023,,12.033,,,,12.033,,,,,165.53,164.297
OLIVEIRA Lorrane,BRA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,25.899,,,,13.233,,,,,159.661,163.563
OLIVEIRA Lorrane,BRA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,13.633,,,,13.633,,,,,,157.596
OLIVEIRA Lorrane,BRA,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,38.265,,,,13.166,,12.066,,13.033,159.83,162.529
OLIVEIRA Lorrane,BRA,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,55.031,56.365,,,,13.6,,13.933,,14.066,,221.861
OLIVEIRA Lorrane,BRA,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,,,13.167,13.6,,11.1,,,,
OLIVEIRA Lorrane,BRA,FIG World Challenge Cup 2023 PARIS (FRA),2023,,,,,,,,11.9,,,,
OLIVEIRA Lorrane,BRA,FIG World Challenge Cup 2023 OSIJEK (CRO),2023,,,,,12.866,13.3,,11.066,,11.4,,
OLIVEIRA Lorrane,BRA,FIG World Challenge Cup 2022 PARIS (FRA),2022,,,,,12.95,13.6,,11.35,,,,
OLIVEIRA Lorrane,BRA,2021 Senior Pan American Championships RIO DE JANEIRO (BRA),2021,50.7,,,13.867,13.4,,,,,,,
OLIVEIRA Lorrane,BRA,2018 Senior Pan American Championships LIMA (PER),2018,52.468,52.468,,,13.367,13.367,12.867,12.867,12.867,12.867,,
OLIVEIRA Lorrane,BRA,FIG Apparatus World Cup 2020-21 DOHA (QAT),2021,,,,,13.4,13.4,,,12.633,12.7,,
OLIVEIRA Lorrane,BRA,43rd Turnier der Meister FIG Individual Apparatus World Cup COTTBUS (GER),2018,,,,,,13.2,,,,,,
OLIVEIRA Lorrane,BRA,World Challenge Cup 2016 ANADIA (POR),2016,,,,,13.55,13.5,,,,,,
OLIVEIRA Lorrane,BRA,World Challenge Cup 2016 SAO PAULO (BRA),2016,,,,,13.9,13.6,,,,,,
OLIVEIRA Lorrane,BRA,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,55.64,,,,14.066,,13.566,,13.4,226.477,
OLIVEIRA Lorrane,BRA,AT&T American Cup World Cup 2016 C II NEWARK (USA),2016,50.298,,,,,,,,,,,
OLIVEIRA Lorrane,BRA,World Challenge Cup 2015 SAO PAULO (BRA),2015,,,,,,,,12,12.4,13.75,,
OLIVEIRA Lorrane,BRA,World Challenge Cup 2015 LJUBLJANA (SLO),2015,,,,,,,13.525,13.7,,11.95,,
OLIVEIRA Lorrane,BRA,World Challenge Cup 2015 DOHA (QAT),2015,,,,,,,,13.15,,12.75,,
SARAIVA Flavia,BRA,Games of the XXXII Olympiad TOKYO (JPN),2021,,,,,,,13.133,13.966,,12.066,,
SARAIVA Flavia,BRA,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,56.532,,,,12.733,14.533,15.133,,14.033,172.087,174.054
SARAIVA Flavia,BRA,Youth Olympic Games of the II Olympiad NANJING (CHN),2014,54.7,52.75,,,,12.15,14,13.2,13.766,13.65,,
SARAIVA Flavia,BRA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,52.699,54.699,,,,13.6,,13.4,13.966,13.833,165.53,164.297
SARAIVA Flavia,BRA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,54.133,,,,13.2,,12.9,,14.2,159.661,163.563
SARAIVA Flavia,BRA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,55.732,54.932,,,,12.833,13.4,13.7,13.966,13.833,,157.596
SARAIVA Flavia,BRA,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,54.366,53.999,,,,12.4,,13.233,13.766,13.9,159.83,162.529
SARAIVA Flavia,BRA,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,53.232,55.798,,,,13.266,,14.133,,14.166,,221.861
SARAIVA Flavia,BRA,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,,,,,14,13.75,,11.65,,
SARAIVA Flavia,BRA,FIG World Challenge Cup 2023 PARIS (FRA),2023,,,,,13.6,13.75,13.45,12.75,13.2,13.3,,
SARAIVA Flavia,BRA,FIG World Challenge Cup 2022 PARIS (FRA),2022,,,,,,,,11.6,12.75,13.8,,
SARAIVA Flavia,BRA,2022 Senior Pan American Championships RIO DE JANEIRO (BRA),2022,,55.399,,,13.533,,14.433,,13.333,,,
SARAIVA Flavia,BRA,2018 Senior Pan American Championships LIMA (PER),2018,53.334,53.334,,,12.567,12.567,14.033,14.033,13.867,13.867,,
SARAIVA Flavia,BRA,FIG Apparatus World Cup 2020-21 DOHA (QAT),2021,,,,,,,12.1,13.091,,,,
SARAIVA Flavia,BRA,43rd Turnier der Meister FIG Individual Apparatus World Cup COTTBUS (GER),2018,,,,,,,13.266,13.8,14.1,13.8,,
SARAIVA Flavia,BRA,FIG World Challenge Cup 2017 OSIJEK (CRO),2017,,,,,12.8,12.7,12.933,12.95,13.633,13.5,,
SARAIVA Flavia,BRA,FIG World Challenge Cup 2017 KOPER (SLO),2017,,,,,13.45,13.75,12.8,12.8,3.25,13.3,,
SARAIVA Flavia,BRA,World Challenge Cup 2016 ANADIA (POR),2016,,,,,,,15.125,14.95,14.35,14.15,,
SARAIVA Flavia,BRA,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,56.882,,,,13.633,14.733,14.566,14.4,14.15,226.477,
SARAIVA Flavia,BRA,World Challenge Cup 2016 AGF Trophy BAKU (AZE),2016,,,,,13.25,13.85,14.8,15.15,13.85,13.8,,
SARAIVA Flavia,BRA,World Challenge Cup 2015 SAO PAULO (BRA),2015,,,,,12.525,13.55,15.1,13.7,13.625,13.9,,
SOARES Julia,BRA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,39.266,,,,,,13.2,,13.2,165.53,164.297
SOARES Julia,BRA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,25.932,,,,,,12.466,,13.466,159.661,163.563
SOARES Julia,BRA,FIG Apparatus World Cup 2024 - Qualifying OG 2024 BAKU (AZE),2024,,,,,,,13.033,13.466,,11.4,,
SOARES Julia,BRA,FIG Apparatus World Cup 2022 BAKU (AZE),2022,,,,,,12,,11.966,13.433,13.233,,
SOARES Julia,BRA,2023 Senior Pan American Championships MEDELLIIN (COL),2023,50.499,,,,,,12.433,,12.9,,,
SOARES Julia,BRA,2022 Senior Pan American Championships RIO DE JANEIRO (BRA),2022,,,,,,,,,12.533,,,
SOARES Julia,BRA,2021 Senior Pan American Championships RIO DE JANEIRO (BRA),2021,,,,,,,12.333,13.333,,,,
SOARES Julia,BRA,1st FIG Artistic Gymnastics Junior World Championships GYOR (HUN),2019,50.365,50.365,,,,10.966,12.366,13.233,,13.066,102.231,
VILLA Giorgia,ITA,Youth Olympic Games of the III Olympiad BUENOS AIRES (ARG),2018,54.066,53.966,14.233,14.083,14.166,14.1,12.966,12.333,13.3,13.133,,
VILLA Giorgia,ITA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,26.466,,,,14.166,,12.3,,,159.463,162.798
VILLA Giorgia,ITA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,54.232,54.399,,,,14.3,,12.533,,12.9,164.796,161.931
VILLA Giorgia,ITA,FIG Apparatus World Cup 2023 CAIRO (EGY),2023,,,,,14.2,14.033,13.6,12.566,,,,
VILLA Giorgia,ITA,FIG Apparatus World Cup 2023 BAKU (AZE,2023,,,,,14,13.9,13.966,13.866,,,,
VILLA Giorgia,ITA,2022 Senior European Championships MUNICH (GER),2022,,,,,14.1,14.2,12.166,13.466,,,,
VILLA Giorgia,ITA,9th European Individual Championships BASEL (SUI),2021,,26.566,,,14,13.966,,12.6,,,,
VILLA Giorgia,ITA,8th European Individual Championships SZCZECIN (POL),2019,52.999,53.365,,,,12.7,11.2,13.766,,12.666,,
VILLA Giorgia,ITA,32nd Junior European Championships GLASGOW (GBR),2018,55.065,55.065,14.216,14.249,13.7,13.966,13.633,13.233,13.333,13.2,161.063,
VILLA Giorgia,ITA,American Cup All-Around FIG World Cup 2020 MILWAUKEE (USA),2020,51.532,,,,,,,,,,,
D'AMATO Alice,ITA,Games of the XXXII Olympiad TOKYO (JPN),2021,51.899,54.199 ,,,,14.233,,12.6,,13.033,163.638,163.33
D'AMATO Alice,ITA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,54.265,52.966,,,,13.033,,12.533,,13.4,162.997,162.23
D'AMATO Alice,ITA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,53.031,54.366,,,,14.4,,12.133,,13.6,159.463,162.798
D'AMATO Alice,ITA,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,52.082,52.098,,,,13.966,,10.966,,12.833,,
D'AMATO Alice,ITA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,28.633,,,,14.133,,,,,164.796,161.931
D'AMATO Alice,ITA,FIG Apparatus World Cup 2023 CAIRO (EGY),2023,,,,,14.633,14.466,,,13.5,13.566,,
D'AMATO Alice,ITA,FIG Apparatus World Cup 2023 COTTBUS (GER,2023,,,,,14.5,14.5,,,13.133,13.466,,
D'AMATO Alice,ITA,2022 Senior European Championships MUNICH (GER),2022,,,,,14.4,14.566,,,,13.5,,
D'AMATO Alice,ITA,9th European Individual Championships BASEL (SUI),2021,,51.532,,,13.7,13.966,,11.666,,12.1,,
D'AMATO Alice,ITA,8th European Individual Championships SZCZECIN (POL),2019,53.233,53.365,,,14.4,14,,12.466,,12.533,,
D'AMATO Alice,ITA,32nd Junior European Championships GLASGOW (GBR),2018,,,,,,,,,,,161.063,
ESPOSITO Manila,ITA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,53.898,54.698,,,,13.666,,13.666,,13.6,162.997,162.23
ESPOSITO Manila,ITA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,51.798,,,,13.966,,10.8,,13.466,159.463,162.798
ESPOSITO Manila,ITA,FIG Apparatus World Cup 2023 COTTBUS (GER),2023,,,13.233,13.383,,,,,13.566,13.333,,
ANDREOLI Angela,ITA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,25.866,,,,12.666,,13.2,,,162.997,162.23
ANDREOLI Angela,ITA,2022 Senior European Championships MUNICH (GER),2022,,,,12.883,,,,12.666,13.866,13.633,,
IORIO Elisa,ITA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,52.966,,,,13.4,,13.4,,12.933,162.997,162.23
IORIO Elisa,ITA,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN,2021,,,,,14.4,14.183,,13.1,,,,
IORIO Elisa,ITA,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,38.798,53.532,,,,14.133,,12.633,,12.4,164.796,161.931
IORIO Elisa,ITA,FIG Apparatus World Cup 2024 - Qualifying OG 2024 BAKU (AZE),2024,,,,,14.3,14.466,10.933,13.366,,,,
IORIO Elisa,ITA,FIG Apparatus World Cup 2023 COTTBUS (GER),2023,,,,,,13.766,,,,,,
IORIO Elisa,ITA,8th European Individual Championships SZCZECIN (POL),2019,,52.132,,,,13.266,,13,,12.633,,
IORIO Elisa,ITA,32nd Junior European Championships GLASGOW (GBR),2018,,52.299,,,13.9,13.9,13.133,13.1,,,161.063,
IORIO Elisa,ITA,UEG YOG qualifying competition 2018 BAKU (AZE),2018,51.731,,14.366,,13.466,,10.733,,13.166,,,
VAN POL Vera,NED,Games of the XXXII Olympiad TOKYO (JPN),2021,,51.733,,,,13.133,,11.6,,12.9,,160.263
VAN POL Vera,NED,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,27.766,,,,,,,,13.5,172.447,171.929
VAN POL Vera,NED,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,50.598,,,,13.066,,10.866,,13.066,159.563,161.197
VAN POL Vera,NED,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,,48.415,,,,10.033,,12.216,,12.733,,
VAN POL Vera,NED,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,50.332,,,,13,,11.066,,12.5,,159.029
VAN POL Vera,NED,45th FIG Artistic Gymnastics World Championships NANNING (CHN),2014,,39.766,,,,13.6,,,,13.266,,214.662
VAN POL Vera,NED,44th FIG Artistic Gymnastics World Championships ANTWERP (BEL),2013,,24.832,,,,12.166,,,,12.666,,
VAN POL Vera,NED,FIG Apparatus World Cup 2022 BAKU (AZE),2022,,,,,12.966,13,,,,12.2,,
VAN POL Vera,NED,2022 Senior European Championships MUNICH (GER),2022,,51.499,,,,12.8,,12.5,,12.633,,
VAN POL Vera,NED,32nd Senior European Championships GLASGOW (GBR),2018,52.032,,,,,13.4,,12.666,,12.166,159.563,158.529
VAN POL Vera,NED,European Championships 2014 SOFIA (BUL),2014,,27.099,,13.633,,,,,,13.466,,161.788
VAN POL Vera,NED,FIG World Challenge Cup VARNA (BUL),2021,,,,,10.95,13.2,,,,11.85,,
VAN POL Vera,NED,FIG Individual All-Around World Cup 2018 BIRMINGHAM (GBR),2018,51.032,,,,,,,,,,,
VAN POL Vera,NED,World Cup 2016 C II GLASGOW (GBR),2016,51.465,,,,,,,,,,,
WEVERS Lieke,NED,Games of the XXXII Olympiad TOKYO (JPN),2021,51.098,53.365,,,,13.533,,13.366,,12.866,,160.263
WEVERS Lieke,NED,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,55.865,56.782,,,,14.6,,14.366,,13.85,172.447,171.929
WEVERS Lieke,NED,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,51.032,,,,13.9,,10.366,,13.033,159.427,162.663
WEVERS Lieke,NED,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017 ,,11.166,,,,,,11.166,,,,
WEVERS Lieke,NED,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,55.632,56.733,,,,14.4,,14.233,14.1,14.2,162.73,222.354
WEVERS Lieke,NED,45th FIG Artistic Gymnastics World Championships NANNING (CHN),2014,,52.765,,,,13.366,,12.833,,13.533,,214.662
WEVERS Lieke,NED,43rd FIG Artistic Gymnastics World Championships TOKYO (JPN),2011,,37.066,,,,11.6,,12.533,,12.933,,212.828
WEVERS Lieke,NED,9th European Individual Championships BASEL (SUI),2021,52.265,52.833,,,,13.233,12.3,13.4,,12.8,,
WEVERS Lieke,NED,European Championships 2014 SOFIA (BUL),2014,,26.3,,,,13.1,,13.2,,,,161.788
WEVERS Lieke,NED,FIG World Challenge Cup - 20th Internationaux de France 2017 PARIS (FRA),2017,,,,,,,,12.7,,,,
WEVERS Lieke,NED,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,28.008,,,,,14.366,14.508,,13.5,,
WEVERS Lieke,NED,1st European Games Baku 2015 BAKU (AZE),2015,55.065,55.099,,,,13.6,14.2,14.066,13.8,13.9,110.099,
WEVERS Lieke,NED,XXX Olympic Games - Test Events LONDON (GBR),2012,38.699,,,,,13.466,,12.4,,12.833,212.061,
WEVERS Sanne,NED,Games of the XXXII Olympiad TOKYO (JPN),2021,,,,,,11.733,,13.866,,,,160.263
WEVERS Sanne,NED,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,29.474,,,,14.408,15.466,15.066,,,172.447,171.929
WEVERS Sanne,NED,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,13.733,,,,,14.1,13.733,,,159.563,161.197
WEVERS Sanne,NED,49th FIG Artistic Gymnastics World Championships STUTTGART (GER),2019,,26.833, ,,,13.633,,13.2,,,159.427,162.663
WEVERS Sanne,NED,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,,27.366,,,,13.333,12.666,14.033,,,,159.029
WEVERS Sanne,NED,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,,26.533,,,,13.8,,12.733,,,,
WEVERS Sanne,NED,46th FIG Artistic Gymnastics World Championships GLASGOW (GBR),2015,,28.866,,,,14.1,14.333,14.766,,,162.73,222.354
WEVERS Sanne,NED,45th FIG Artistic Gymnastics World Championships NANNING (CHN),2014,,13.933,,,,,,13.933,,,,214.662
WEVERS Sanne,NED,44th FIG Artistic Gymnastics World Championships ANTWERP (BEL),2013,,12.233,,,,,,12.233,,,,
WEVERS Sanne,NED,42nd FIG Artistic Gymnastics World Championships ROTTERDAM (NED),2010,,27.133,,,,12.933,,14.2,,,,217.286
WEVERS Sanne,NED,41st FIG Artistic Gymnastics World Championships LONDON (GBR),2009,,25.4,,,,,,13.6,,11.8,,
WEVERS Sanne,NED,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,,,,10.8,12.867,13.5,,,,
WEVERS Sanne,NED,9th European Individual Championships BASEL (SUI),2021,,13.433,,,,,13.866,13.433,,,,
WEVERS Sanne,NED,32nd Senior European Championships GLASGOW (GBR),2018,27.032,,,,,13.666,13.9,13.366,,,159.563,158.529
WEVERS Sanne,NED,7th European Individual Championships CLUJ NAPOCA (ROU),2017,,,,,,,13.341,14.3,,,,
WEVERS Sanne,NED,6th European Individual Championships 2015 MONTPELLIER (FRA),2015, ,28.458,,,14.2,14.233,11.9,14.225,,,,
WEVERS Sanne,NED,European Championships 2014 SOFIA (BUL),2014,,27.466,,,,13.5,,13.966,,,,161.788
WEVERS Sanne,NED,42nd Turnier der Meister FIG Individual Apparatus World Cup COTTBUS (GER),2017,,,,,13.933,13.933,13.133,13.7,,,,
WEVERS Sanne,NED,FIG World Challenge Cup - 20th Internationaux de France 2017 PARIS (FRA),2017,,,,,,12.75,12.9,14.1,,,,
WEVERS Sanne,NED,FIG World Cup 2017 MELBOURNE (AUS),2017,,,,,,,14.5,13.866,,,,
WEVERS Sanne,NED,Aquece Rio Final Gymnastics Qualifier (Test Event) RIO DE JANEIRO (BRA),2016,,28.6,,,,14,14.8,14.6,,,,
WEVERS Sanne,NED,40th TURNIER DER MEISTER World Challenge Cup 2016 COTTBUS (GER),2016,,,,,10.766,14.05,13.666,14.75,,,,
WEVERS Sanne,NED,World Challenge Cup 2015 LJUBLJANA (SLO),2015,,,,,,,13.15,13.3,,,,
VISSER Naomi,NED,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,53.132,54.332,,,14.166,14.166,,13.2,13.3,13.733,159.563,161.197
VISSER Naomi,NED,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,50.665,54.165,,,13.233,14.4,,12.733,13.666,13.666,,159.396
VISSER Naomi,NED,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,52.832,52.266,,,,13.033,,12.8,,12.9,,
VISSER Naomi,NED,49th FIG Artistic Gymnastics World Championships STUTTGART (GER,2019,51.166,53.231,,,,13.466,,12.466,,13.366,159.427,162.663
VISSER Naomi,NED,48th FIG Artistic Gymnastics World Championships DOHA (QAT),2018,53.332,52.832,,,,13.433,,12.966,,13.133,,159.029
VISSER Naomi,NED,FIG Apparatus World Cup 2022 BAKU (AZE),2022,,,,,13.1,14.566,11.933,12.833,11.433,12.533,,
VISSER Naomi,NED,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,,,,12.85,,12,12.6,13.05,,
VISSER Naomi,NED,FIG World Challenge Cup 2023 OSIJEK (CRO),2023,,,,,14.333,14.566,12.666,12.733,,,,
VISSER Naomi,NED,FIG World Challenge Cup 2023 VARNA (BUL),2023,,,,,12.666,13.333,12.233,13.066,,,,
VISSER Naomi,NED,2022 Senior European Championships MUNICH (GER),2022,,53.265,,,13.066,14.266,,12.233,13.133,13.633,,
VISSER Naomi,NED,9th European Individual Championships BASEL (SUI),2021,52.199,49.932,,,,11.933,,12.4,,12.566,,
VISSER Naomi,NED,32nd Senior European Championships GLASGOW (GBR),2018,13.633,,,,,,,,,,159.563,158.529
VISSER Naomi,NED,31st European Championships 2016 BERN (SUI),2016,,39.566,,,,,,12.9,13.2,13.433,156.729,
VEERMAN Sanna,NED,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,39.833,,,14.2,14.2,,,,12.333,159.563,161.197
VEERMAN Sanna,NED,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,14.533,,,14.166,14.533,,,,,,159.396
VEERMAN Sanna,NED,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,,,,,,12.433,,11.566,,,,
VEERMAN Sanna,NED,FIG Apparatus World Cup 2024 - Qualifying OG 2024 CAIRO (EGY,2024,,,,,,11.7,,10,,,,
VEERMAN Sanna,NED,FIG Apparatus World Cup 2023 BAKU (AZE),2023,,,,,13.766,13.7,,10.966,,,,11.733
VEERMAN Sanna,NED,FIG Apparatus World Cup 2022 COTTBUS (GER),2022,,,,,13.166,12.2,11.466,12.433,,,,
VEERMAN Sanna,NED,FIG World Challenge Cup 2022 PARIS (FRA),2022,,,,,,12.6,,11.65,,,,
VEERMAN Sanna,NED,FIG World Challenge Cup 2022 VARNA (BUL),2022,,,,,12.15,13.7,,,,12.5,,
VEERMAN Sanna,NED,2022 Senior European Championships MUNICH (GER),2022,,,,,,12.8,,,,,,
VEERMAN Sanna,NED,8th European Individual Championships SZCZECIN (POL),2019,,49.432,,,12.366,14.133,,9.666,,11.833,,
VEERMAN Sanna,NED,31st European Championships 2016 BERN (SUI),2016,51.598,51.14,,13.383,,12.933,,12.241,,12.4,156.729,
VEERMAN Sanna,NED,FIG World Challenge Cup VARNA (BUL),2021,,,,,,12.8,,9.7,,,,
VEERMAN Sanna,NED,American Cup All-Around FIG World Cup 2019 GREENSBORO (USA),2019,50.765,,,,,,,,,,,
DEVILLARD Coline,FRA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL),2023,,26.3,13.183,13.783,,,,,,11.9,164.064,160.93
DEVILLARD Coline,FRA,51st FIG Artistic Gymnastics World Championships LIVERPOOL (GBR),2022,,14.433,14.166,14.299,,,,,,,155.863,161.428
DEVILLARD Coline,FRA,50th FIG Artistic Gymnastics World Championships KITAKYUSHU (JPN),2021,,,,13.45,,,,11.3,,,,
DEVILLARD Coline,FRA,47th FIG Artistic Gymnastics World Championships MONTREAL (CAN),2017,,13.133,,13.733,,,,,,,,
DEVILLARD Coline,FRA,FIG Apparatus World Cup 2023 BAKU (AZE),2023,,,13.683,12.616,,,,,,,,
DEVILLARD Coline,FRA,FIG Apparatus World Cup 2023 DOHA (QAT),2023,,,13.8,13.399,,,12.6,12.9,,,,
DEVILLARD Coline,FRA,FIG World Challenge Cup 2024 OSIJEK (CRO),2024,,,13.7,13.883,,,12.766,11.733,12.733,12.633,,
DEVILLARD Coline,FRA,FIG World Challenge Cup 2023 PARIS (FRA),2023,,,13.8,13.125,,,,,,,,
DEVILLARD Coline,FRA,FIG World Challenge Cup 2022 PARIS (FRA),2022,,,13.85,13.825,,,,,,,,
DEVILLARD Coline,FRA,8th European Individual Championships SZCZECIN (POL,2019,,37.266,14.45,14.216,,,,10.3,,12,,
DEVILLARD Coline,FRA,32nd Senior European Championships GLASGOW (GBR),2018,14.8,,13.933,14.183,,,,,,,161.131,164.063
DEVILLARD Coline,FRA,7th European Individual Championships CLUJ NAPOCA (ROU),2017,,,14.466,14.266,,,,,,,,
DEVILLARD Coline,FRA,FIG Apparatus World Cup 2020-21 DOHA (QAT),2021,,,13.966,14.033,,,12.366,12.466,,,,
DEVILLARD Coline,FRA,FIG World Challenge Cup VARNA (BUL),2021,,,14.15,14.175,,,,11.8,,,,
DEVILLARD Coline,FRA,FIG World Cup 2020 BAKU (AZE),2020,,,,14.15,,,,12.2,,12.166,,
DEVILLARD Coline,FRA,FIG World Cup 2020 MELBOURNE (AUS),2020,,,14.249,14.05,,,,,,,,
DEVILLARD Coline,FRA,FIG World Cup 2019 DOHA (QAT),2019,,,14.549,14.633,,,,11.833,12.4,12.833,,
DEVILLARD Coline,FRA,FIG World Cup 2019 BAKU (AZE),2019,,,14.199,14.149,,,,12.3,,12.633,,
DEVILLARD Coline,FRA,FIG World Cup 2018 DOHA (QAT),2018,,,13.949,13.566,,,,,,,,
DEVILLARD Coline,FRA,FIG World Challenge Cup - 20th Internationaux de France 2017 PARIS (FRA),2017,,,14.25,14.15,,,,,,,,
OSYSSEK-REIMER Morgane,FRA,52nd FIG Artistic Gymnastics World Championships ANTWERP (BEL,2023,52.799,51.832,,,,12.033,,13.033,,13.433,164.064,160.93
OSYSSEK-REIMER Morgane,FRA,FIG World Challenge Cup 2024 ANTALYA (TUR),2024,,,12.9,13,,13.15,,12,13.667,13.45,,
OSYSSEK-REIMER Morgane,FRA,FIG World Challenge Cup 2023 TEL-AVIV (ISR),2023,,,12.817,13.017,,11.633,,,13.367,13.233,,
OSYSSEK-REIMER Morgane,FRA,FIG World Challenge Cup 2022 VARNA (BUL),2022,,,,12.8,,,,,12.8,12.95,,
OSYSSEK-REIMER Morgane,FRA,2022 Senior European Championships MUNICH (GER),2022,,49.399,,13.15,,10.433,,12.466,12.666,13.2,,
OSYSSEK-REIMER Morgane,FRA,31st European Championships 2016 BERN (SUI),2016,53.332,51.932,14.033,14.1,,12.866,,11.966,,13.2,160.823,
VAN EIJKEN Ming,FRA,2nd FIG Artistic Gymnastics Junior World Championships ANTALYA (TUR),2023,,46.265,13,13.083,,11.033,,10.166,,12,96.898,
BOYER Marine,FRA,Games of the XXXII Olympiad TOKYO (JPN),2021,,50.332,,,,10.4,,13.466,,12.733,163.264,164.561
BOYER Marine,FRA,Games of the XXXI Olympiad RIO DE JANEIRO (BRA),2016,,42.033,,,,,14.6,14.6,,13.233,,168.696
